CATEGORIE_EVENEMENT|TITRE_EVENEMENT|DEBUT_EVENEMENT|FIN_EVENEMENT|HORAIRE_EVENEMENT|COUT_EVENEMENT|DESCRIPTION_EVENEMENT|RENSEIGNEMENT_EVENEMENT|TEL1_EVENEMENT|TEL2_EVENEMENT|COURRIEL_EVENEMENT|URL_EVENEMENT|NOMLIEU_EVENEMENT|COMPLEMENT_LIEU_EVENEMENT|ADRESSE_EVENEMENT|TEL_LIEU|NOM_ARRONDISSEMENT
Divers|Marjo|2015-05-23|2015-05-23|20 h|1|Authentique et fougueuse, la chanteuse s'est d'abord fait connaitre avec la formation Corbeau. Apres trois decennies et plus d'un million d'albums, elle revient avec un spectacle de pieces originales de ce groupe culte du Quebec.|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Musique|Marjo|2015-05-23|2015-05-23|20 h|1|Authentique et fougueuse, la chanteuse s'est d'abord fait connaitre avec la formation Corbeau. Apres trois decennies et plus d'un million d'albums, elle revient avec un spectacle de pieces originales de ce groupe culte du Quebec.|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Musique|Les violoncelles enchanteurs|2015-05-24|2015-05-24|10 h|1|On dit que la musique classique est « savante », mais c'est aussi une musique qui emeut. Les Violoncelles Enchanteurs et leur directrice, Lorraine Pouliot, vous offre l'opportunite de le decouvrir.|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Divers|Sylvain Cossette|2015-05-29|2015-05-29|20 h|1|AccordsApres avoir lance Accords, un nouvel album de compositions originales, Sylvain Cossette revient dans les salles intimes. Ce spectacle regroupera, en plus des chansons de son nouvel album, les nombreux succes radiophoniques accumules au cours de ses 25 ans de carriere.|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Musique|Sylvain Cossette|2015-05-29|2015-05-29|20 h|1|AccordsApres avoir lance Accords, un nouvel album de compositions originales, Sylvain Cossette revient dans les salles intimes. Ce spectacle regroupera, en plus des chansons de son nouvel album, les nombreux succes radiophoniques accumules au cours de ses 25 ans de carriere.|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Divers|Marc Hervieux|2015-05-30|2015-05-31|Samedi, 20 h; dimanche, 14 h|1|Marc Hervieux est l'un des artistes lyriques canadiens les plus en demande sur la scene nationale et internationale. Accompagne de son pianiste, il interpretera les plus belles chansons de son repertoire dans une atmosphere chaleureuse teintee de bonne humeur.|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Musique|Marc Hervieux|2015-05-30|2015-05-31|Samedi, 20 h; dimanche, 14 h|1|Marc Hervieux est l'un des artistes lyriques canadiens les plus en demande sur la scene nationale et internationale. Accompagne de son pianiste, il interpretera les plus belles chansons de son repertoire dans une atmosphere chaleureuse teintee de bonne humeur.|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Activites estivales|Hommage a Rush - New World Men|2015-06-19|2015-06-19|20 h|1|L'objectif de New World Men est de recreer le son studio de Rush devant vous. Tous les efforts tendent a atteindre la perfection sonore des pieces que vous avez entendues des milliers de fois sur votre tourne-disque!|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Musique|Hommage a Rush - New World Men|2015-06-19|2015-06-19|20 h|1|L'objectif de New World Men est de recreer le son studio de Rush devant vous. Tous les efforts tendent a atteindre la perfection sonore des pieces que vous avez entendues des milliers de fois sur votre tourne-disque!|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Magie|Nicolas Gignac : Betes de scene|2015-06-26|2015-06-26|20 h|1|Nicolas Gignac est le magicien des animaux. Avec ses Betes de scene, il vous gardera sur le bout de votre siege et vous fera passer par toute la gamme des emotions. Inedit, unique et fascinant, une magie qui defie toute logique!|5|418-686-5032||lachapelle@ville.quebec.qc.ca|http://www.centredartlachapelle.com|Centre d'art La Chapelle||620, avenue Plante|418-686-5032|Les Rivieres
Musique|For me Formidable|2015-08-07|2015-08-07|20 h|2|Le spectacle des grandes chansons francaises de Becaud, Dassin, Barriere, Dalida, Aznavour, Piaff…             Un spectacle a voir et a revoir.      Steeve Mathews, Joseph Stephen, chanteurs et Monya Mathieu, chanteuse, accompagnes de quatre musiciens.|0|418-666-3349|418-663-9697|gisele10@videotron.ca||Centre de loisirs Monseigneur-De Laval||2, rue du Fargy|418-641-6045|Beauport
Musique|Barbara, le temps d'une chanson|2015-08-21|2015-08-21|20 h|2|Le temps d'un concert intime, decouvrez ou redecouvrez  Barbara, cette grande dame de la chanson francaise. Grace a des textes touchants, intelligents et des melodies remarquables, ses chansons ont parcouru les annees.Quinze ans apres sa mort, laissez-vous charmer par l'interpretation complice de ce trio: Marie-Catherine Bouchard a la voix, Veronique Gilbert au piano et Hugo Rinfret-Paquet a la contrebasse.     |0|418-666-3349|418-663-9697|gisele10@videotron.ca||Centre de loisirs Monseigneur-De Laval||2, rue du Fargy|418-641-6045|Beauport
Activite familiale|Fin de semaine chantante|2015-06-19|2015-06-21|De 19 h a 22 h|0|Trois soirs de performances faites par des groupes vocaux de l'exterieur et de la grande region de Quebec et ses environs. Sept spectacles seront presentes par six chorales quebecoises.  Venez nous rencontrer en grand nombre! La FIN DE SEMAINE CHANTANTE presentera sa 15e edition et est toujours aussi populaire que depuis sa premiere annee.  Les membres du Groupe vocal Atmosphere se font une joie de vous y accueillir et vous attendent avec impatience!!|3|418-627-9802|418-641-6045|blancou22@gmail.com|http://www.groupevocalatmosphere.org|Centre de loisirs Monseigneur-De Laval||2, rue du Fargy|418-641-6045|Beauport
Musique|Fin de semaine chantante|2015-06-19|2015-06-21|De 19 h a 22 h|0|Trois soirs de performances faites par des groupes vocaux de l'exterieur et de la grande region de Quebec et ses environs. Sept spectacles seront presentes par six chorales quebecoises.  Venez nous rencontrer en grand nombre! La FIN DE SEMAINE CHANTANTE presentera sa 15e edition et est toujours aussi populaire que depuis sa premiere annee.  Les membres du Groupe vocal Atmosphere se font une joie de vous y accueillir et vous attendent avec impatience!!|3|418-627-9802|418-641-6045|blancou22@gmail.com|http://www.groupevocalatmosphere.org|Centre de loisirs Monseigneur-De Laval||2, rue du Fargy|418-641-6045|Beauport
Activite petit budget|Soiree musicale et dansante pour le 35e anniversaire de l'Harmonie des Cascades et le lancement de sa nouvelle image corporative|2015-05-29|2015-05-29|19 h|2|Afin de souligner son 35e anniversaire de fondation, l'Harmonie des Cascades vous convie a une soiree musicale et dansante le vendredi 29 mai 2015 des 19 h au Centre de loisirs Monseigneur-De Laval. Cet evenement se veut un moment au cours duquel l'Harmonie proposera au public trois ambiances differentes dans le cadre d'une rencontre sociale reunissant les partenaires, les anciens membres, les proches et les fideles.  1) Court concert de l'Harmonie (repertoire varie)  2) Lancement de la nouvelle image de l'Harmonie des Cascades  3) Quelques pieces de ballroom pour lancer la soiree festive  4) Quelques pieces Harmonie et Binette Band et par la suite, ce dernier animera le reste de la soiree.  Il y aura un bar sur place. Vous pouvez vous procurez des billets au cout de 10 $ en prevente par les membres de l'Harmonie et a l'Ecole de musique des Cascades au 418 664-0989<a href="#" title="Appeler : 418-664-0989" style="overflow: hidden; cursor: hand;  height: 16px;  width: 16px; vertical-align: middle; white-space: nowrap; right: 0px;  position: static !important; float: none; left: 0px; margin: 0px;  display: inline; top: 0px; bot|0|418-664-0989||info@hdc.qc.ca|http://www.hdc.qc.ca|Centre de loisirs Monseigneur-De Laval||2, rue du Fargy|418-641-6045|Beauport
